CustomerId,recency,frequency,total_value
12347,2,8,704.2
12348,75,5,403.9
12350,310,1,334.4
12352,36,10,285
12353,204,2,203.4
12355,214,2,473.8
12360,52,8,531.6
12361,287,4,127.8
12362,3,11,486.9
12364,7,4,328.3
12365,291,2,320.7
12366,633,1,500.2
12367,4,1,168.9
12369,413,3,597.1
12370,51,7,617.2
12372,71,3,432.7
12373,311,3,375.9
12374,25,4,747.3
12375,10,2,228.8
12376,389,2,251.6
12379,81,4,405.1
12381,4,5,369.1
12383,184,5,370.1
12384,28,2,292.6
12386,337,2,330.4
12387,415,1,143.9
12388,15,8,487.6
12389,402,3,477.8
12390,79,1,549.8
12391,21,6,462.2
12392,591,1,234.8
12393,72,6,399.9
12394,63,2,636.2
12395,19,15,337.8
12399,119,7,280.3
12400,414,1,205.2
12401,303,1,84.3
12402,323,6,209.5
12403,49,2,509.7
12404,682,1,63.2
12407,49,5,341.6
12408,32,8,542.6
12410,308,3,337.9
12411,409,1,346.9
12412,74,6,432.8
12413,66,4,249.9
12414,217,6,158.7
12416,656,1,202.6
12418,112,4,505.3
12419,385,2,251.5
12420,63,1,600.4
12421,15,6,183.1
12423,0,10,262.2
12426,194,2,672.6
12427,21,3,376.4
12430,43,1,256.4
12434,84,3,367.8
12436,99,1,509
12439,682,2,579.1
12440,462,2,429.6
12441,366,1,347.1
12442,3,1,172.1
12443,732,1,485.3
12445,22,2,217.5
12447,243,1,476.5
12448,44,1,449.4
12450,156,5,137.6
12452,16,2,215.3
12453,134,1,707.1
12455,73,10,588
12457,66,8,374.5
12458,71,4,444.4
12459,605,1,454.4
12460,456,1,326.6
12461,94,2,413.4
12462,18,2,594.8
12463,53,4,336.2
12464,10,8,151.5
12465,17,2,371.1
12466,682,1,56.7
12468,187,5,734.1
12475,53,2,574.8
12478,3,1,681
12479,11,1,527.2
12484,32,12,530.8
12485,529,1,708.1
12487,730,1,285.3
12488,9,3,432.9
12489,336,1,334.9
12491,38,1,460.4
12492,63,3,238.4
12493,165,2,216.9
12494,15,9,208.1
12495,640,1,357.4
12496,620,2,27
12498,21,3,134.6
12499,560,1,393.7
12502,95,5,744.8
12504,18,4,194.8
12506,232,1,73.5
12507,134,4,461
12508,26,2,199.1
12509,284,1,176.5
12510,142,9,575.3
12512,66,2,69
12513,112,1,612.3
12515,353,1,383.7
12516,77,4,662.2
12517,28,5,500.6
12518,0,5,411.4
12519,63,2,363.3
12520,79,5,526.9
12521,142,1,599.7
12522,39,2,96.4
12525,498,3,324.6
12526,0,3,438.9
12527,81,5,147.1
12528,9,6,322.2
12529,528,1,316.5
12530,59,9,417.7
12532,30,1,349.8
12533,627,2,683.9
12535,91,2,358.2
12537,408,1,732.9
12538,29,2,320.2
12541,29,3,327.1
12542,484,2,240.9
12544,36,1,372.7
12545,75,2,500.2
12546,46,2,580.8
12547,197,3,127.9
12548,166,1,95.2
12551,357,1,168
12552,38,2,218.9
12553,8,12,384.1
12554,448,1,468.5
12555,682,1,129.2
12556,50,2,301.9
12559,310,2,280.9
12560,5,3,711.3
12561,302,1,238.8
12562,8,9,551.9
12563,408,1,249.2
12564,261,1,456.9
12565,288,1,145.9
12566,86,1,351.6
12568,644,1,70
12570,682,1,77.5
12571,39,2,259.8
12572,8,2,510.2
12573,227,5,143.5
12574,315,1,218.5
12575,457,2,311.4
12576,35,8,267.8
12577,35,8,206.7
12579,78,1,440.4
12580,246,2,526.5
12581,39,1,197.7
12582,238,4,495.1
12584,3,9,259.8
12586,17,4,515.7
12587,7,1,144
12588,39,4,239.7
12589,28,8,587
12591,317,3,450.7
12592,92,5,516.5
12593,108,3,139.4
12594,37,15,339.3
12595,504,1,299
12596,51,2,309.1
12598,9,11,412.2
12599,29,13,176.7
12601,189,6,113.5
12602,58,1,153.1
12603,21,1,739.2
12604,79,2,127.1
12605,376,4,308.2
12606,682,1,21
12608,404,1,415.8
12609,78,9,381.8
12610,22,5,419.9
12612,74,1,704
12613,57,10,683.5
12614,277,1,315.6
12615,2,8,717.6
12616,95,3,377
12617,29,1,355.5
12618,21,1,177.3
12619,16,10,378.1
12620,14,3,446.5
12622,232,1,180.1
12623,276,7,535.4
12624,106,2,320.6
12626,23,9,735.6
12627,10,7,639.8
12628,4,3,262.2
12630,9,2,635.4
12631,57,6,580.3
12632,520,2,402.4
12635,89,4,732.6
12637,67,12,695
12638,33,2,460.7
12639,238,3,437.5
12640,23,3,391.5
12641,115,1,185.9
12642,25,3,337.8
12643,128,12,695.9
12644,129,4,479.6
12645,33,8,442.4
12648,154,4,278
12649,107,8,286.8
12650,3,1,314.4
12651,334,4,94.4
12652,331,2,508.5
12654,10,5,120.4
12655,423,1,261.4
12657,11,4,410.8
12658,18,1,686
12659,29,1,91.7
12660,11,1,245.1
12661,436,1,162
12663,624,2,119.7
12664,8,11,551.8
12665,324,3,104.5
12667,58,1,620.1
12670,10,7,537.2
12672,329,2,218.5
12673,5,3,410
12674,38,4,492.6
12675,553,2,479.2
12676,24,11,258.5
12677,555,2,197.6
12679,58,4,278.3
12680,0,4,220.2
12684,7,7,326.2
12685,28,6,477.2
12686,371,1,178.3
12689,25,2,623.8
12690,205,1,389
12691,28,7,167.2
12692,637,1,111
12693,127,7,243.3
12694,70,3,614.4
12695,7,7,201
12696,434,2,426
12697,28,3,319.2
12698,590,1,339.8
12699,417,1,638.1
12701,79,6,407.7
12702,19,1,219
12703,71,4,251.6
